smiles,endpoint
CC(=O)NC1=C(C=CC(=C1)N(CCOC(=O)C)CCOC(=O)C)N=NC2=C(C=C(C=C2)[N+](=O)[O-])Cl,1
C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,1
[O-][N+](=O)c2ccc(/N=N/c1ccc(N(CCOC(=O)C)CCC#N)cc1)cc2,1
COC(=O)C(CCl)Cl,1
COC(=O)C(CSC(=N)N)Cl.Cl,1
COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C=C4C(=C3O)C=CC(=C4N=NC5=C(C=CC(=C5)S(=O)(=O)[O-])S(=O)(=O)O)NC6=CC=CC=C6)S(=O)(=O)[O-])OC)N=NC7=C(C=C8C(=C7O)C=CC(=C8N=NC9=C(C=C(C=C9)[N+](=O)[O-])C(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],1
CC1=CC=C(C=C1)S(=O)(=O)NC2=C3C(=CC(=C2)S(=O)(=O)[O-])C=C(C(=C3O)N=NC4=C(C=C(C=C4)C5=CC(=C(C=C5)N=NC6=C(C=C7C(=C6O)C=CC(=C7N=NC8=C(C=C(C=C8)[N+](=O)[O-])C(=O)[O-])N)S(=O)(=O)[O-])OC)OC)S(=O)(=O)O.[Na+].[Na+].[Na+],1
C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)N/N=C\2/C(=CC=C3C2=CC(=CC3=O)S(=O)(=O)[O-])N.[Na+],1
COC(=O)C(=C)Cl,1
C[C@H](CCl)C(=O)Cl,1
[H][C@@](C)(CCl)C(O)=O,1
COC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-],1
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)N)N)N,1
C\C=N\CCN,1
COC1=CC=C(C=C1)CCCl,1
C1=CC(=CC(=C1)N)C(=O)C2=CC(=CC=C2)N,1
CC(C)(C)C1=CC=C(C=C1)C(=O)NC1=CC(Cl)=C(C=C1O)[N+]([O-])=O,1
CN1C2=CC=CC=C2C3=CC=CC=C31,1
CC1(CC(=O)OO1)OO,1
CCCOC1=CC=C(C=C1)C2=C3C=C4C(=C(C(=O)O4)C5=CC=CC=C5)C=C3OC2=O,1
C1C=CCC2C1C(=O)N(C2=O)CC3CO3,1
CC(=O)OCC1CO1,1
C1=CC(=C(C=C1Cl)Cl)C(=O)C2=C(C=C(C=C2)Cl)Cl,1
C1=CC(=C(C(=C1[N+](=O)[O-])Cl)F)Cl,1
C1C(C(O1)(F)F)(F)F,1
C1C(N=C(S1)N=C(N)N)(CCl)O.Cl,1
C1=CC(=C(C(=C1[N+](=O)[O-])F)F)F,1
CC(C)C(C1(CCCC(C1=O)(Cl)Cl)Cl)Cl,1
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OC2=C(C=C3C(=C2)N=C(O3)C(C)(C)C)[N+](=O)[O-],1
CC(=O)NC1=NC(=C(C=C1)[N+](=O)[O-])Cl,1
C1=CC(=C(C(=C1)Cl)F)[N+](=O)[O-],1
CCN(CC)C1=CC(C)=C(C=C1)\N=N\C1=C(C=C(C=C1C#N)[N+]([O-])=O)C#N,1
CC(C)(C)C1=NC2=CC(=C(C=C2O1)[N+](=O)[O-])Cl,1
CC(N)C(OS(O)(=O)=O)C1=CC=C(Cl)C=C1,1
COC1=CC=CC(=C1)/C=C/C2=CC=CC=C2O,1
C1=CC=C(C(=C1)C(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N)Cl,1
