smiles,ID,endpoint,MW,cano_smiles
CN=NO,1,1,60.03,CN=NO
FC(=C)F,3,1,64.01,C=C(F)F
Cl[C@@H]1CO1,4,1,77.99,Cl[C@@H]1CO1
C[C@H]1CN1,5,1,57.06,C[C@H]1CN1
IC(I)I,6,1,393.72,IC(I)I
C[C@H]1CO1,7,1,58.04,C[C@H]1CO1
C\C=N/O,8,1,59.04,C/C=N\O
Br\C=C\Br,9,1,183.85,Br/C=C/Br
C\C=C\Cl,10,1,76.01,C/C=C/Cl
BrCC#C,11,1,117.94,C#CCBr
OCN=N,12,1,60.03,N=NCO
ClC(=C)Cl,13,1,95.95,C=C(Cl)Cl
FC(F)Cl,14,1,85.97,FC(F)Cl
CC1CO1,16,1,58.04,CC1CO1
O=[Cr](=O)=O,17,1,99.93,O=[Cr](=O)=O
[Na+].ON=O,18,1,69.99,O=NO.[Na+]
ClS(=O)Cl,19,1,117.9,O=S(Cl)Cl
[Na+].[N-]=[N+]=[N-],21,1,65,[N-]=[N+]=[N-].[Na+]
ClC(Cl)Br,22,1,161.86,ClC(Cl)Br
CNN=O,23,1,60.03,CNN=O
Br\C=C/Br,24,1,183.85,Br/C=C\Br
C\C=C/Cl,25,1,76.01,C/C=C\Cl
OCCBr,27,1,123.95,OCCBr
OCCCl,28,1,80,OCCCl
CCOO,29,1,62.04,CCOO
ClCC=C,30,1,76.01,C=CCCl
NCCN,31,1,60.07,NCCN
BrCC=C,32,1,119.96,C=CCBr
C=CC=C,33,1,54.05,C=CC=C
CN(C)N,34,1,60.07,CN(C)N
CC(C)Br,35,1,121.97,CC(C)Br
CC(C)Cl,36,1,78.02,CC(C)Cl
ClCC=O,37,1,77.99,O=CCCl
BrCCBr,38,1,185.87,BrCCBr
CSCCl,39,1,95.98,CSCCl
ClCCCl,40,1,97.97,ClCCCl
C1COC1,41,1,58.04,C1COC1
OCC#C,42,1,56.03,C#CCO
NCCCl,43,1,79.02,NCCCl
C=CC=O,44,1,56.03,C=CC=O
C=CC#N,45,1,53.03,C=CC#N
ClCCBr,47,1,141.92,ClCCBr
C[C@@H](O)CBr,48,1,137.97,C[C@@H](O)CBr
OC(=O)CI,49,1,185.92,O=C(O)CI
FC[C@H]1CO1,50,1,76.03,FC[C@H]1CO1
C[C@@H](O)CCl,51,1,94.02,C[C@@H](O)CCl
CNN=NC,52,1,73.06,CN=NNC
CCN=NO,53,1,74.05,CCN=NO
NNCCO,55,1,76.06,NNCCO
BrC[C@H]1CO1,58,1,135.95,BrC[C@H]1CO1
OCC(Cl)Cl,59,1,113.96,OCC(Cl)Cl
C[C@@H](O)CN,60,1,75.07,C[C@@H](O)CN
C[C@@H](Cl)CCl,61,1,111.98,C[C@@H](Cl)CCl
CC[C@H]1CO1,63,1,72.06,CC[C@H]1CO1
O=C[C@H]1CO1,65,1,72.02,O=C[C@H]1CO1
C[C@@H](Br)CBr,67,1,199.88,C[C@@H](Br)CBr
CN(C)N=O,68,1,74.05,CN(C)N=O
CCC(C)Br,70,1,135.99,CCC(C)Br
