smiles,endpoint
CN=NO,1
OCCI,1
FC(=C)F,1
Cl[C@@H]1CO1,1
C[C@H]1CN1,1
IC(I)I,1
C[C@H]1CO1,1
C\C=N/O,1
Br\C=C\Br,1
C\C=C\Cl,1
BrCC#C,1
OCN=N,1
ClC(=C)Cl,1
FC(F)Cl,1
CC1CN1,1
CC1CO1,1
O=[Cr](=O)=O,1
[Na+].ON=O,1
ClS(=O)Cl,1
[K+].ON=O,1
[Na+].[N-]=[N+]=[N-],1
ClC(Cl)Br,1
CNN=O,1
Br\C=C/Br,1
C\C=C/Cl,1
OCCBr,1
OCCCl,1
CCOO,1
ClCC=C,1
NCCN,1
BrCC=C,1
C=CC=C,1
CN(C)N,1
CC(C)Br,1
CC(C)Cl,1
ClCC=O,1
BrCCBr,1
CSCCl,1
ClCCCl,1
C1COC1,1
OCC#C,1
NCCCl,1
C=CC=O,1
C=CC#N,1
O=CC=O,1
ClCCBr,1
C[C@@H](O)CBr,1
OC(=O)CI,1
FC[C@H]1CO1,1
C[C@@H](O)CCl,1
CNN=NC,1
CCN=NO,1
ClC(=C)C=O,1
NNCCO,1
Cl[C@@H](Br)C#N,1
OC[C@H]1CO1,1
BrC[C@H]1CO1,1
OCC(Cl)Cl,1
C[C@@H](O)CN,1
C[C@@H](Cl)CCl,1
C=C[C@H]1CO1,1
CC[C@H]1CO1,1
c1cscn1,1
O=C[C@H]1CO1,1
ClCC(=C)Br,1
C[C@@H](Br)CBr,1
CN(C)N=O,1
CC(Cl)(Cl)Cl,1
CCC(C)Br,1
CC(C)C#N,1
CCC1CO1,1
ClCC1CO1,1
C\C=C\C=O,1
CC(O)CCl,1
OCC1CO1,1
BrCC(=O)Br,1
CC1OC1C,1
[K+].OBr(=O)=O,1
ClCOCCl,1
FCC1CO1,1
O=CCC=O,1
CC1(C)CO1,1
O=CC1CO1,1
C=CC1CO1,1
BrCC1CO1,1
CN\N=N\C,1
N[Pt](N)(Cl)Cl,1
O[Cr](=O)(=O)O,1
CC(O)CBr,1
ClC[C@@H]1CO1,1
ClC(Br)C#N,1
N.O[V](=O)=O,1
CC(=C=O)Cl,1
OC\C=C/Cl,1
OC\C=C\Cl,1
C[C@@H]1O[C@H]1C,1
[K+].CNN=O,1
C1CSCN1,1
BrC(=C)C=O,1
OCCCCl,1
ClC(Cl)(Cl)Br,1
CC(=C)C=O,1
CN=[N+](C)[O-],1
NC(=O)NO,1
CCCCBr,1
CC(=O)NN,1
C[C@@H]1O[C@@H]1C,1
C\C=C/C=O,1
[O-][N+](=O)CCl,1
ClC(Cl)C#N,1
CC(=O)NO,1
OC(=O)C=O,1
BrCC(=C)Br,1
COCC=O,1
ClCC(=C)Cl,1
ClC[C@H]1CO1,1
OC(=O)CBr,1
OCCCBr,1
CCCOO,1
ClC\C=C/Cl,1
CC(=O)C=C,1
FC(F)(F)I,1
O=C1CCO1,1
