,smiles,endpoint,cano_smiles,pred_values,ad
0,CC(=O)NC1=C(C=CC(=C1)N(CCOC(=O)C)CCOC(=O)C)N=NC2=C(C=C(C=C2)[N+](=O)[O-])Cl,1,CC(=O)Nc1cc(N(CCOC(C)=O)CCOC(C)=O)ccc1N=Nc1ccc([N+](=O)[O-])cc1Cl,1,1
1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,1,N#CCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,1,1
2,[O-][N+](=O)c2ccc(/N=N/c1ccc(N(CCOC(=O)C)CCC#N)cc1)cc2,1,CC(=O)OCCN(CCC#N)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,1,1
3,COC(=O)C(CCl)Cl,1,COC(=O)C(Cl)CCl,1,1
4,COC(=O)C(CSC(=N)N)Cl.Cl,1,COC(=O)C(Cl)CSC(=N)N.Cl,1,0
5,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C=C4C(=C3O)C=CC(=C4N=NC5=C(C=CC(=C5)S(=O)(=O)[O-])S(=O)(=O)O)NC6=CC=CC=C6)S(=O)(=O)[O-])OC)N=NC7=C(C=C8C(=C7O)C=CC(=C8N=NC9=C(C=C(C=C9)[N+](=O)[O-])C(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],1,COc1cc(-c2ccc(N=Nc3c(S(=O)(=O)[O-])cc4c(N=Nc5cc(S(=O)(=O)[O-])ccc5S(=O)(=O)O)c(Nc5ccccc5)ccc4c3O)c(OC)c2)ccc1N=Nc1c(S(=O)(=O)[O-])cc2c(N=Nc3ccc([N+](=O)[O-])cc3C(=O)[O-])c(N)ccc2c1O.[Na+].[Na+].[Na+].[Na+],1,1
6,CC1=CC=C(C=C1)S(=O)(=O)NC2=C3C(=CC(=C2)S(=O)(=O)[O-])C=C(C(=C3O)N=NC4=C(C=C(C=C4)C5=CC(=C(C=C5)N=NC6=C(C=C7C(=C6O)C=CC(=C7N=NC8=C(C=C(C=C8)[N+](=O)[O-])C(=O)[O-])N)S(=O)(=O)[O-])OC)OC)S(=O)(=O)O.[Na+].[Na+].[Na+],1,COc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)[O-])cc(NS(=O)(=O)c5ccc(C)cc5)c4c3O)c(OC)c2)ccc1N=Nc1c(S(=O)(=O)[O-])cc2c(N=Nc3ccc([N+](=O)[O-])cc3C(=O)[O-])c(N)ccc2c1O.[Na+].[Na+].[Na+],1,1
7,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)N/N=C\2/C(=CC=C3C2=CC(=CC3=O)S(=O)(=O)[O-])N.[Na+],1,NC1=CC=C2C(=O)C=C(S(=O)(=O)[O-])C=C2/C1=N\Nc1ccc([N+](=O)[O-])cc1C(=O)O.[Na+],1,0
8,COC(=O)C(=C)Cl,1,C=C(Cl)C(=O)OC,1,1
9,C[C@H](CCl)C(=O)Cl,1,C[C@H](CCl)C(=O)Cl,1,1
10,[H][C@@](C)(CCl)C(O)=O,1,C[C@H](CCl)C(=O)O,0,1
11,COC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-],1,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],1,1
12,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)N)N)N,1,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,1,1
13,C\C=N\CCN,1,C/C=N/CCN,1,0
14,COC1=CC=C(C=C1)CCCl,1,COc1ccc(CCCl)cc1,0,1
15,C1=CC(=CC(=C1)N)C(=O)C2=CC(=CC=C2)N,1,Nc1cccc(C(=O)c2cccc(N)c2)c1,1,1
16,CC(C)(C)C1=CC=C(C=C1)C(=O)NC1=CC(Cl)=C(C=C1O)[N+]([O-])=O,1,CC(C)(C)c1ccc(C(=O)Nc2cc(Cl)c([N+](=O)[O-])cc2O)cc1,1,1
17,CN1C2=CC=CC=C2C3=CC=CC=C31,1,Cn1c2ccccc2c2ccccc21,1,1
18,CC1(CC(=O)OO1)OO,1,CC1(OO)CC(=O)OO1,0,0
19,CCCOC1=CC=C(C=C1)C2=C3C=C4C(=C(C(=O)O4)C5=CC=CC=C5)C=C3OC2=O,1,CCCOc1ccc(C2=c3cc4c(cc3OC2=O)=C(c2ccccc2)C(=O)O4)cc1,0,0
20,C1C=CCC2C1C(=O)N(C2=O)CC3CO3,1,O=C1C2CC=CCC2C(=O)N1CC1CO1,1,1
21,CC(=O)OCC1CO1,1,CC(=O)OCC1CO1,1,1
22,C1=CC(=C(C=C1Cl)Cl)C(=O)C2=C(C=C(C=C2)Cl)Cl,1,O=C(c1ccc(Cl)cc1Cl)c1ccc(Cl)cc1Cl,0,1
23,C1=CC(=C(C(=C1[N+](=O)[O-])Cl)F)Cl,1,O=[N+]([O-])c1ccc(Cl)c(F)c1Cl,1,1
24,C1C(C(O1)(F)F)(F)F,1,FC1(F)COC1(F)F,1,0
25,C1C(N=C(S1)N=C(N)N)(CCl)O.Cl,1,Cl.NC(N)=NC1=NC(O)(CCl)CS1,0,0
26,C1=CC(=C(C(=C1[N+](=O)[O-])F)F)F,1,O=[N+]([O-])c1ccc(F)c(F)c1F,1,1
27,CC(C)C(C1(CCCC(C1=O)(Cl)Cl)Cl)Cl,1,CC(C)C(Cl)C1(Cl)CCCC(Cl)(Cl)C1=O,0,0
28,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OC2=C(C=C3C(=C2)N=C(O3)C(C)(C)C)[N+](=O)[O-],1,CC(C)(C)CC(C)(C)c1ccc(Oc2cc3nc(C(C)(C)C)oc3cc2[N+](=O)[O-])cc1,1,0
29,CC(=O)NC1=NC(=C(C=C1)[N+](=O)[O-])Cl,1,CC(=O)Nc1ccc([N+](=O)[O-])c(Cl)n1,1,1
30,C1=CC(=C(C(=C1)Cl)F)[N+](=O)[O-],1,O=[N+]([O-])c1cccc(Cl)c1F,1,1
31,CCN(CC)C1=CC(C)=C(C=C1)\N=N\C1=C(C=C(C=C1C#N)[N+]([O-])=O)C#N,1,CCN(CC)c1ccc(/N=N/c2c(C#N)cc([N+](=O)[O-])cc2C#N)c(C)c1,1,1
32,CC(C)(C)C1=NC2=CC(=C(C=C2O1)[N+](=O)[O-])Cl,1,CC(C)(C)c1nc2cc(Cl)c([N+](=O)[O-])cc2o1,1,1
33,CC(N)C(OS(O)(=O)=O)C1=CC=C(Cl)C=C1,1,CC(N)C(OS(=O)(=O)O)c1ccc(Cl)cc1,0,0
34,COC1=CC=CC(=C1)/C=C/C2=CC=CC=C2O,1,COc1cccc(/C=C/c2ccccc2O)c1,0,1
35,C1=CC=C(C(=C1)C(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N)Cl,1,Nc1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1Cl,1,1
36,C1=C(C=C(C(=C1Br)N)C(=S)N)Br,1,NC(=S)c1cc(Br)cc(Br)c1N,1,0
37,C1=C(C=C(C2=NSC(=C21)N)Br)Br,1,Nc1snc2c(Br)cc(Br)cc12,1,1
38,ClC\C=C(\CCl)[Si](Cl)(Cl)Cl,1,ClC/C=C(/CCl)[Si](Cl)(Cl)Cl,1,0
39,C1=C(C(=CC(=C1[N+](=O)[O-])Cl)Cl)C(F)(F)F,1,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)cc1Cl,0,1
40,C1C(=O)N=C(N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+],1,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C([O-])=N1.[Na+],1,1
41,COC(=O)CO/N=C(/C(=O)CCl)\C(=O)O,1,COC(=O)CO/N=C(\C(=O)O)C(=O)CCl,0,0
42,N(F)(F)F,1,FN(F)F,0,0
43,O=C(OCC1CO1)C1=CC=C(C=C1)C(=O)OCC1CO1,1,O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)cc1,1,1
44,ClC(Cl)(Cl)C(=O)NNC(=O)\C=C\C1=CC2=C(O1)C=CC=C2,1,O=C(/C=C/c1cc2ccccc2o1)NNC(=O)C(Cl)(Cl)Cl,1,0
45,ClC(Cl)(Cl)C1=NN=C(O1)\C=C\C1=CC2=CC=CC=C2O1,1,ClC(Cl)(Cl)c1nnc(/C=C/c2cc3ccccc3o2)o1,1,0
46,CCN(CCOC(=O)C1=CC=CC=C1)C1=CC=C(C=C1)\N=N\C1=NC2=C(S1)C=C(C=C2)[N+]([O-])=O,1,CCN(CCOC(=O)c1ccccc1)c1ccc(/N=N/c2nc3ccc([N+](=O)[O-])cc3s2)cc1,1,1
47,[H][C@@](C)(NC(CC(=O)C1=CC=CC=C1)C(=O)OCC)C(O)=O,1,CCOC(=O)C(CC(=O)c1ccccc1)N[C@@H](C)C(=O)O,0,1
48,CCC(COC(=O)CCN1CC1C)(COC(=O)CCN2CC2C)COC(=O)CCN3CC3C,1,CCC(COC(=O)CCN1CC1C)(COC(=O)CCN1CC1C)COC(=O)CCN1CC1C,0,0
49,CC(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,1,CC(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1,1
50,CCOC(=O)\C=C\C(=O)C1=CC=CC=C1,1,CCOC(=O)/C=C/C(=O)c1ccccc1,0,1
51,COC1=CC=CC(=C1)CCl,1,COc1cccc(CCl)c1,0,1
52,CC1=C(C=C2C(=C1)C3=C(S2(=O)=O)C(=C(C=C3)N)C)N,1,Cc1cc2c(cc1N)S(=O)(=O)c1c-2ccc(N)c1C,1,1
