SMILES,From Smiles,To Smiles,Environment Radius,Ames Smiles,Transformer,Rule Frequency,RuleID,Predicted Values,AD,,,
CC(=O)OCCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]COC(C)=O,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]COC(C)=O,1,2576,1,1,,,
CC(=O)OCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]OC(C)=O,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]OC(C)=O,2,1049,1,1,,,
CC(C)(C)CCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]C(C)(C)C,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]C(C)(C)C,1,1586,1,1,,,
CC(C)CCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]C(C)C,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]C(C)C,1,457,1,1,,,
CCC(=O)OCCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]COC(=O)CC,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]COC(=O)CC,1,2577,1,1,,,
CCC(=O)OCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]OC(=O)CC,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]OC(=O)CC,1,1050,1,1,,,
CCCC(=O)OCCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]COC(=O)CCC,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]COC(=O)CCC,1,2578,1,1,,,
CCCC(=O)OCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]OC(=O)CCC,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]OC(=O)CCC,1,1051,1,1,,,
CCCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]CC,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]CC,1,453,1,1,,,
CCCCOC(=O)CCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]C(=O)OCCCC,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]C(=O)OCCCC,1,2677,1,1,,,
CCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]c1ccccc1,[*:1][H],0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccccc1>>[*:1][H],16,1165,1,1,,,
CCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1][H],0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1][H],7,126,1,1,,,
CCOC(=O)CCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]C(=O)OCC,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]C(=O)OCC,1,2675,1,1,,,
CCOCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]OCC,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]OCC,2,2572,1,1,,,
CN(C)CCNS(=O)(=O)CCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]S(=O)(=O)NCCN(C)C,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]S(=O)(=O)NCCN(C)C,1,2678,1,1,,,
COC(=O)CCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]C(=O)OC,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]C(=O)OC,1,1762,1,1,,,
COCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]C#N,[*:1]OC,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]C#N>>[*:1]OC,3,1761,1,1,,,
C[N+](C)(C)c1ccc(N=Nc2ccc(N(CCC#N)CCc3ccccc3)cc2)c(Cl)c1,[*:1][N+](=O)[O-],[*:1][N+](C)(C)C,0,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1][N+](=O)[O-]>>[*:1][N+](C)(C)C,1,801,1,1,,,
Cc1ccc(OP(=O)(Oc2ccc(N(CCC#N)CCc3ccccc3)cc2)Oc2ccc([N+](=O)[O-])cc2Cl)cc1,[*:1]N=N[*:2],[*:1]OP(=O)(O[*:2])Oc1ccc(C)cc1,1,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]N=N[*:2]>>[*:1]OP(=O)(O[*:2])Oc1ccc(C)cc1,1,5150,1,1,,,
Cc1cccc(N=Nc2ccc(N(CCC#N)CCc3ccccc3)cc2)c1C,[*:1]c1ccc([N+](=O)[O-])cc1Cl,[*:1]c1cccc(C)c1C,3,C1=CC=C(C=C1)CCN(CCC#N)C2=CC=C(C=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl,[*:1]c1ccc([N+](=O)[O-])cc1Cl>>[*:1]c1cccc(C)c1C,1,1102,1,1,,,
